state,medicaid_aba_pathway,medicaid_agency,prior_auth,autism_insurance_mandate,typical_hours,medicaid_rate,waiver_programs,bcba_licensure,sources
Georgia,Adaptive Behavior Services (ABS) under EPSDT since 1/1/2018 for under-21 with documented DSM-5 ASD diagnosis; delivered FFS via DCH/GAMMIS and through the four Georgia Families CMOs which authorize and reimburse in-network,"Dept. of Community Health (DCH), medicaid.georgia.gov; GAMMIS portal mmis.georgia.gov",PA required before services: ASD diagnosis from licensed physician/psychologist plus provider-submitted treatment plan approved by DCH or the member's CMO,"Ava's Law (HB 429) enacted 2015 covering under age 6; SB 118 (2018) expanded to age 20 and younger; permitted $35,000/yr ABA benefit cap",Not published (verify),"97153 by RBT: $15.58/unit in-clinic, $18.69/unit in-home ($62.32-$74.76/hr); BCBA-rendered $30.91-$37.78/unit (GA fee schedule via CSG South comparison; verify on GAMMIS)",Katie Beckett (TEFRA) deeming pathway; NOW (New Options Waiver); COMP (Comprehensive Supports Waiver) — both waitlisted,Yes — HB 412 (2022) created behavior analyst licensure and the Georgia Behavior Analyst Licensing Board (verify exact board name),https://medicaid.georgia.gov/programs/all-programs/autism-spectrum-disorder | https://csgsouth.org/wp-content/uploads/HSPS-Converted-IR__Comparison-of-Medicaid-Reimbursement-for-ABA-Individual-Services.pdf | https://medicaid.georgia.gov/programs/all-programs/tefrakatie-beckett
Hawaii,"EPSDT under Med-QUEST (QUEST Integration); ABA covered as Intensive Behavioral Therapy for under-21 with ASD per memo QI-2431/FFS 24-13; delivered via QUEST Integration MCOs (AlohaCare, HMSA, Kaiser, Ohana, UnitedHealthcare)",DHS Med-QUEST Division; medquest.hawaii.gov; customer service 1-800-316-8005 (verify),No PA for screening or diagnostic eval; provider submits ABA assessment + behavior analyst treatment plan to member's QUEST health plan for authorization; each plan has its own process (QI-2431),"Luke's Law (SB 791) 2015, eff. 1/1/2016; under age 14, ABA capped $25,000/yr — caps not enforced due to federal MHPAEA parity","Not state-published; plan-authorized per medical necessity, commonly 10-40 hrs/wk (verify)","97153 = $17.66/15-min unit ($70.64/hr), all practitioner levels, eff. 1/1/2025 after 41.3% increase (verify against current Med-QUEST fee schedule)",Medicaid 1915(c) I/DD Waiver (DOH Developmental Disabilities Division),"Yes — Act 199 (2015), HRS ch. 465D; DCCA Professional & Vocational Licensing Division, Behavior Analyst Program; requires active BCBA/BCBA-D",https://medquest.hawaii.gov/content/medquest/en/plans-providers/fee-for-service/fee-schedules.html | https://cca.hawaii.gov/pvl/programs/behavior/ | https://www.autismspeaks.org/hawaii-state-regulated-insurance-coverage
Idaho,"EPSDT for under-21; historically 'Behavior Modification and Consultation' via Magellan; moved late 2025 into state-run Children's Habilitation Intervention Services (CHIS) as 'Behavioral Intervention', billed with H-codes (H0004 replaced 97153 12/1/2025)","Idaho Dept. of Health and Welfare, Division of Medicaid; healthandwelfare.idaho.gov; claims via Gainwell Technologies, PA via Telligen",PA required before services start; physician diagnosis/prescription plus treatment plan submitted by provider; PA reviewed by Telligen under CHIS (formerly Magellan),"No statute; Idaho DOI Bulletin 18-02 (2018) requires ABA coverage in plans effective after 12/31/2018 — 47th state, no explicit age/dollar caps","Not state-published; authorized per medical necessity, commonly 10-40 hrs/wk (verify)",97153 retired 12/1/2025; CHIS analog H0004 HA (technician 1:1) $13.54/15-min unit ($54.16/hr) (verify against DHW fee schedule),"Children's DD Waiver, Adult DD Waiver, and Katie Beckett/TEFRA program (autism qualifying condition)",No — Idaho does not license behavior analysts; BACB certification is the operative credential (Medicaid standards cite BACB),https://healthandwelfare.idaho.gov/providers/home-and-community-based-services-children-developmental-disabilities/childrens | https://healthandwelfare.idaho.gov/services-programs/medicaid-health/about-katie-beckett-program | https://www.bacb.com/u-s-licensure-of-behavior-analysts/
Illinois,"EPSDT 'Adaptive Behavior Support (ABS)' benefit for ages 0-20 with ASD, added eff. early 2021; covered in both FFS and HealthChoice Illinois managed care; providers enroll via IMPACT",Illinois Dept. of Healthcare and Family Services (HFS); hfs.illinois.gov; PA submissions to HFS.ABA@Illinois.gov,Provider submits HFS ABA PA form with physician order/referral (valid 1 yr) + comprehensive diagnostic eval by physician/clinical psychologist; all BAI services and BATP beyond 6 hrs/180 days require PA,"Public Act 95-1005 (2008), eff. 12/12/2008; under age 21, $36,000/yr max (indexed), no visit limits; caps unenforceable under MHPAEA","Not state-published; per medical necessity in BCBA treatment plan, commonly 10-40 hrs/wk (verify)","97153 = $13.00/15-min unit ($52.00/hr), unchanged since Jan 2022","DDD 1915(c) waivers via PUNS list: Children's Support Waiver (3-21), Children's Residential Waiver, Adult DD Waiver",Yes — Behavior Analyst Licensing Act (2022); IDFPR Behavior Analyst Licensing and Disciplinary Board; LBA/LABA licensing began 1/15/2025,https://hfs.illinois.gov/medicalproviders/notices/notice.prn210119a.html | https://idfpr.illinois.gov/profs/behavior-analysts.html | https://www.autismspeaks.org/illinois-state-regulated-insurance-coverage
Indiana,IHCP (FSSA) ABA benefit; from 4/1/2026 covered ONLY via EPSDT (under 21; over-21 coverage ends 10/1/2026) per bulletin BT202627 after 2025 reform process; PA via FSSA/MCEs,Indiana FSSA Office of Medicaid Policy & Planning / IHCP; in.gov/medicaid; provider line 1-800-457-4584,"Provider submits PA with diagnostic eval + BCBA treatment plan; 2025-26 reforms added UA modifier for comprehensive ABA, weekly caps by ASD level, 4,000-hr lifetime cap, peer review beyond 2 yrs, 6-month new-provider enrollment freeze",2001 HEA 1122 (IC 27-8-14.2) — first state autism mandate; group plans; no age or dollar caps,Capped 30/32/38 hrs/wk for ASD Levels 1/2/3 (eff. 4/1/2026); 15 hrs/wk still allowed after lifetime cap if medically necessary,"97153 = $16.04/15-min unit ($64.16/hr) eff. 4/1/2026 (down from $17.06; phasing to $15.39 in 2027), all modifier levels","BDDS waivers: Family Supports Waiver (~$17,300/yr cap) and Community Integration & Habilitation (CIH) Waiver; both at capacity with waitlists as of 2026","Yes — P.L.212-2021 (2021), IC 25-8.5; Indiana Behavior Analyst Licensing Board/Committee under Professional Licensing Agency; applications opened May 2025",https://www.in.gov/medicaid/providers/files/bulletins/BT202542.pdf | https://www.in.gov/pla/professions/behavior-analyst/ | https://www.in.gov/medicaid/members/home-and-community-based-services/family-supports-waiver/
Iowa,"EPSDT benefit for under-21 with ASD; delivered through Iowa Health Link managed care (Iowa Total Care, Molina, Wellpoint) or FFS; separate state-funded Autism Support Program for kids under 14 without Medicaid/private ABA funding","Iowa HHS, Iowa Medicaid; hhs.iowa.gov/medicaid; member services 1-800-338-8366",PA required; ABA provider submits treatment plan with measurable goals and progress data to the member's MCO (or Iowa Medicaid FFS) for authorization,"HF 215 (2017), eff. 1/1/2018; under age 19; ABA caps $36k/yr (0-6), $25k (7-13), $12.5k (14-18) — caps unenforceable under MHPAEA","Not state-published; authorized per medical necessity, commonly 10-40 hrs/wk (verify)",97153 = $27.23/15-min unit ($108.92/hr) with HO/HP (BCBA/doctoral) vs $16.34/unit ($65.36/hr) with HN (BCaBA/RBT) (verify against Iowa HHS fee schedule),"No autism-specific waiver: Intellectual Disability Waiver, Children's Mental Health Waiver, Health & Disability Waiver (being redesigned into age-based HOME waivers incl. a Children & Youth Waiver adding autism)",Yes — 2018 Acts ch. 1106 (Iowa Code 154D.2A); Board of Behavioral Health Professionals (DIAL); BCBA certification required,https://hhs.iowa.gov/medicaid/provider-services/covered-services-rates-and-payments/fee-schedules | https://dial.iowa.gov/licenses/medical/mental-health/mental-behavioral-health | https://www.autismspeaks.org/iowa-state-regulated-insurance-coverage
Kansas,"ABA covered under KanCare (Medicaid state plan/EPSDT, effective Jan 2017) as autism specialized services (Intensive Individual Supports); delivered via KanCare MCOs Sunflower, UnitedHealthcare Community Plan, Healthy Blue","Kansas Dept. of Health & Environment (KDHE) Div. of Health Care Finance, with KDADS for HCBS; kancare.ks.gov / KMAP portal","All ABA requires prior auth through the member's KanCare MCO: physician prescription, autism diagnosis, and BCBA-supervised treatment plan; Medical Necessity Form for Autism Waiver/dual authorizations","2014 (HB 2744, signed 4/16/2014): ABA for children under 12; caps of 1,300 hrs/yr for 4 yrs from diagnosis then 520 hrs/yr; also created ABA licensure act (federal parity may limit cap enforcement)",Initial soft limit 25 hrs/week technician-delivered (IIS); more hours authorized on showing of medical necessity,97153 = $16.35/15-min unit eff 7/1/2024 (~$65.40/hr) per KMAP fee schedule (secondary source; verify on KMAP portal),"Kansas HCBS Autism Waiver (ages 0-5; parent support/respite, does not fund ABA itself); I/DD Waiver; SED Waiver","Yes — Licensed Behavior Analyst under Kansas Behavioral Sciences Regulatory Board; licensure act in HB 2744 (2014), licensing began July 1, 2016",https://www.kslegislature.gov/li_2014/b2013_14/measures/documents/summary_hb_2744_2014.pdf | https://portal.kmap-state-ks.us/PublicPage/ProviderPricing/FeeSchedules | https://www.sunflowerhealthplan.com/newsroom/kmap-19029.html
Kentucky,"ABA covered under EPSDT via Medicaid behavioral health benefit; billed by Licensed Behavior Analysts (provider type 63/639); delivered through Medicaid MCOs (Aetna Better Health, Humana, Passport/Molina, WellCare, Anthem, UnitedHealthcare)","Kentucky Cabinet for Health and Family Services, Dept. for Medicaid Services (DMS); chfs.ky.gov/agencies/dms, member services 1-800-635-2570",DMS has waived prior authorization for behavioral health outpatient services incl. ABA (per Dec 2024 notice); claims still require documented ASD diagnosis and LBA licensure; MCO policies vary (verify per MCO),"2010 (HB 159, eff. 1/1/2011): originally ages 1-21 with annual dollar caps; HB 218 (2018) removed all age and dollar caps",No published state hour cap; hours per medical necessity (verify),"97153 = $12.18/15-min unit ($48.72/hr) RBT-delivered, 2026 BH fee schedule; 8% increase from prior $11.25",Michelle P. Waiver and Supports for Community Living (SCL) Waiver (behavior support services for I/DD; not ABA-specific),Yes — Kentucky Applied Behavior Analysis Licensing Board; licensure enacted 2010 (HB 159),https://www.chfs.ky.gov/agencies/dms/DMSFeeRateSchedules/2026%20Behavioral%20Health%20Fee%20Schedule.pdf | https://www.chfs.ky.gov/agencies/dms/provider/Pages/lba.aspx | https://www.autismspeaks.org/kentucky-state-regulated-insurance-coverage
Louisiana,"ABA covered for under-21 Medicaid beneficiaries (EPSDT) through Healthy Louisiana managed care plans (Aetna, AmeriHealth Caritas, Healthy Blue, Humana Healthy Horizons, Louisiana Healthcare Connections)","Louisiana Department of Health (LDH), Bureau of Health Services Financing; ldh.la.gov/medicaid, Medicaid hotline 1-888-342-6207","All ABA requires MCO prior auth in two steps: first for functional assessment/behavior treatment plan, then for therapy services; requires ASD diagnosis, comprehensive diagnostic evaluation, and QHCP prescription; auths max 180 days","2008 (Act 648, eff. 1/1/2009): under 21, $36,000/yr cap; Act 208 (2012) removed lifetime caps; federal parity renders dollar/age/hour caps unenforceable","No fixed weekly cap published; hours per authorized treatment plan, reauthorized every 180 days (verify)","97153 = $12.50/15-min unit ($50.00/hr), technician-delivered, per LDH ABA fee schedule eff 7/1/2022 (still current)","OCDD waivers: New Opportunities Waiver (NOW), Children's Choice Waiver, Supports Waiver, Residential Options Waiver (not ABA-specific)",Yes — Louisiana Behavior Analyst Board; licensure enacted 2013 (Act 351 / SB 134),https://www.lamedicaid.com/provweb1/fee_schedules/ABA_FS_Current.pdf | https://ldh.la.gov/assets/medicaid/ABA/ABA-Fact-Sheet.pdf | https://www.lamedicaid.com/provweb1/providermanuals/manuals/aba/aba.pdf
Maine,"ABA delivered mainly under MaineCare Benefits Manual Section 28 (Rehabilitative & Community Support Services for Children with Cognitive Impairments and Functional Limitations), incl. BCBA-supervised Specialized Services; Section 65 BH services restructured Jan 2026","Maine DHHS, Office of MaineCare Services; maine.gov/dhhs/oms, member services 1-800-977-6740 (verify phone)",Services require eligibility determination and individualized treatment plan under Section 28; BCBA supervision built into Specialized Services rate; PA/utilization review through MaineCare's ASO (Kepro/Acentra) (verify),"2010 (LD 1198, eff. 1/12/2011): originally age 10 and under with $36,000/yr cap; LD 2768 (2014) extended to under 21; federal parity renders caps unenforceable",Individualized per treatment plan; MaineCare reimburses up to 120 hrs/yr of BCBA behavioral consultation (verify weekly direct-service hours),not published under 97153 — Section 28 bills HCPCS (e.g. H2021 per 15 min); 2023 rate reform raised Section 28 rates ~72% median (verify current rate sheet),Section 21 (Comprehensive) and Section 29 (Supports) HCBS waivers for ID/ASD (mostly adults); Katie Beckett/TEFRA option for children's MaineCare eligibility,No state licensure for behavior analysts (one of ~10 states without); BACB certification (BCBA) is the de facto requirement for reimbursement,https://www.maine.gov/dhhs/oms/providers/provider-bulletins/board-certified-behavior-analyst-bcba-and-telehealth-guidance-section-28-providers-2024-12 | https://www.maine.gov/sos/rulemaking/agency-rules/mainecare-benefits-manual | https://www.autismspeaks.org/maine-state-regulated-insurance-coverage
Maryland,"Maryland Medicaid ABA benefit (added 2017 under EPSDT) for members under 21 with ASD; fee-for-service benefit administered statewide through the Behavioral Health ASO Carelon Behavioral Health (replaced Optum 1/1/2025), regardless of MCO","Maryland Department of Health, Medicaid (MMCP) EPSDT ABA program; health.maryland.gov/mmcp/epsdt/ABA, mdh.aba@maryland.gov; Carelon 1-800-888-1965","All ABA services require prior authorization from Carelon (BHASO): comprehensive diagnostic evaluation by a qualified provider prescribing ABA, BCBA assessment and treatment plan; authorizations valid max 180 days","Habilitative-services mandate (Ins. §15-835; original mandate 2000 (verify), first-in-nation habilitative benefit); March 2014 regulation explicitly required ABA for children with ASD under 19 in state-regulated plans",No fixed cap; weekly hours per comprehensive diagnostic evaluation and medical necessity (verify),97153 = $19.17/15-min unit RBT-delivered ($76.68/hr); $20.91 BCaBA; $24.41 BCBA/BCBA-D — official ABA fee schedule eff 7/1/2024,"Maryland Autism Waiver (MDH + MSDE-administered; registry 866-417-3480; respite, family training, env. mods — supplemental to, not required for, Medicaid ABA; long waitlist)","Yes — licensed behavior analysts under the Maryland Board of Professional Counselors and Therapists; law passed 2014, licensure required as of Jan 2015",https://health.maryland.gov/mmcp/epsdt/ABA/pages/home.aspx | https://mdbh.optum.com/content/dam/ops-maryland/documents/provider/information/pbhs/fee-schedules-eff--7-1-24/ABA-Fee-Schedule-Eff-7.1.2024.pdf | https://marylandpublicschools.org/programs/pages/special-education/autismfactsheet.aspx
